"SubjID","Sess","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again"
"S303","s13-15",13,1,3,3,44,57,13,1,6,12,"#NULL!","#NULL!",6,12,6,6,10,"#NULL!","#NULL!",-0.58,0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",57,0,45,6
"S304","s13-10",13,2,3,3,39,58,19,2,"#NULL!","#NULL!",4,11,4,11,7,"#NULL!","#NULL!",4,11,"#NULL!","#NULL!",-1.09,0.31,"#NULL!",39,58,"#NULL!",0,30,7
"S305","s13-12",13,1,6,3,53,60,7,1,10,11,"#NULL!","#NULL!",10,11,1,9,11,"#NULL!","#NULL!",0.27,0.5,"#NULL!","#NULL!",53,"#NULL!","#NULL!",60,0,"#NULL!",1
"S306","s13-16",13,2,8,3,54,53,-1,2,"#NULL!","#NULL!",9,10,9,10,1,"#NULL!","#NULL!",9,9,"#NULL!","#NULL!",0.41,-0.23,"#NULL!",54,53,"#NULL!",0,44,1
"S307","s13-05",13,1,3,5,44,57,13,1,6,12,"#NULL!","#NULL!",6,12,6,6,10,"#NULL!","#NULL!",-0.58,0.25,"#NULL!","#NULL!",44,"#NULL!","#NULL!",57,0,61,6
"S308","s13-02",13,2,6,5,42,36,-6,2,"#NULL!","#NULL!",6,5,6,5,-1,"#NULL!","#NULL!",5,3,"#NULL!","#NULL!",-0.79,-1.86,"#NULL!",42,36,"#NULL!",0,"#NULL!",-1
"S315","s14-06",14,1,7,5,53,36,-17,1,10,4,"#NULL!","#NULL!",10,4,-6,9,3,"#NULL!","#NULL!",0.27,-1.49,"#NULL!","#NULL!",53,"#NULL!","#NULL!",36,0,62,-6
"S316","s14-01",14,1,1,3,45,61,16,2,"#NULL!","#NULL!",6,12,6,12,6,"#NULL!","#NULL!",6,12,"#NULL!","#NULL!",-0.49,0.58,"#NULL!",45,61,"#NULL!",0,20,6
"S317","s14-03",14,1,7,3,47,60,13,1,7,11,"#NULL!","#NULL!",7,11,4,7,11,"#NULL!","#NULL!",-0.29,0.5,"#NULL!","#NULL!",47,"#NULL!","#NULL!",60,0,"#NULL!",4
"S318","s14-04",14,1,7,3,45,53,8,2,"#NULL!","#NULL!",7,9,7,9,2,"#NULL!","#NULL!",6,9,"#NULL!","#NULL!",-0.49,-0.23,"#NULL!",45,53,"#NULL!",0,62,2
