S153    ,0.551,0.378,0.071,0.025,0.659,0.317,0,0.044,0.956,0,0.011,0.989,0.001,0.027,0.972,0,0.003,0.997,0.209,0.655,0.136,0.001,0.064,0.935
S155    ,0.014,0.219,0.767,0.96,0.04,0,0.004,0.124,0.872,0.032,0.274,0.694,0.053,0.297,0.65,0.022,0.771,0.207,0.914,0.084,0.002,0.021,0.255,0.723
S156    ,0.256,0.516,0.228,0.986,0.014,0,0.498,0.428,0.074,0.028,0.263,0.709,0.241,0.378,0.381,0.148,0.811,0.041,0.99,0.01,0,0.577,0.367,0.056
S157    ,0.001,0.067,0.932,0.254,0.719,0.027,0,0.03,0.97,0.001,0.042,0.957,0.003,0.064,0.933,0,0.017,0.983,0.443,0.516,0.041,0,0.011,0.989
S158    ,0.818,0.173,0.009,0.946,0.053,0.001,0.086,0.422,0.491,0.132,0.457,0.411,0.666,0.259,0.075,0.605,0.393,0.002,0.993,0.007,0,0.006,0.149,0.845
S160    ,0.541,0.389,0.07,0.884,0.116,0.001,0.013,0.214,0.773,0.141,0.381,0.478,0.017,0.147,0.836,0.009,0.572,0.418,0.727,0.255,0.018,0.395,0.421,0.183
S161    ,0.2,0.487,0.314,0.372,0.595,0.033,0.001,0.045,0.954,0.005,0.097,0.898,0.001,0.049,0.95,0.001,0.292,0.707,0.766,0.227,0.007,0.034,0.248,0.717
S163    ,0.022,0.233,0.745,0.093,0.729,0.178,0.001,0.054,0.945,0,0.017,0.983,0.012,0.117,0.871,0.002,0.177,0.821,0.086,0.415,0.5,0,0.019,0.981
S164    ,0.097,0.417,0.487,0.33,0.636,0.034,0.001,0.071,0.928,0.012,0.136,0.852,0.012,0.136,0.852,0.001,0.172,0.827,0.174,0.549,0.277,0,0.019,0.981
S166    ,0.147,0.456,0.397,0.327,0.648,0.025,0,0.013,0.987,0,0.017,0.983,0.001,0.04,0.959,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S167    ,0.028,0.27,0.701,0.17,0.762,0.068,0.013,0.211,0.776,0.002,0.061,0.937,0.001,0.04,0.959,0,0.047,0.953,0.237,0.632,0.13,0,0.012,0.988
S169    ,0.093,0.416,0.49,0.217,0.734,0.049,0,0.042,0.958,0,0.01,0.99,0.002,0.047,0.951,0,0.022,0.978,0.446,0.514,0.041,0,0.011,0.989
S170    ,0.199,0.473,0.328,0.474,0.514,0.012,0,0.024,0.975,0,0.025,0.974,0.003,0.064,0.933,0,0.061,0.939,0.108,0.582,0.31,0,0.013,0.987
S177    ,0.008,0.153,0.839,0.003,0.38,0.617,0.001,0.058,0.941,0.001,0.046,0.953,0.001,0.044,0.954,0,0,1,0.072,0.6,0.328,0,0.01,0.99
S178    ,0.028,0.27,0.702,0.44,0.535,0.025,0.023,0.26,0.717,0.014,0.162,0.824,0.01,0.136,0.854,0.01,0.399,0.591,0.316,0.477,0.207,0,0.032,0.968
S180    ,0.31,0.475,0.215,0.495,0.495,0.009,0,0.023,0.976,0,0.02,0.98,0.005,0.066,0.929,0,0.023,0.977,0.085,0.593,0.322,0,0.011,0.989
S181    ,0.004,0.116,0.88,0,0.149,0.851,0,0.035,0.965,0,0.016,0.984,0.001,0.037,0.962,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S183    ,0.117,0.42,0.463,0.013,0.547,0.44,0.002,0.087,0.912,0.052,0.251,0.698,0.039,0.144,0.817,0,0.003,0.997,0.02,0.402,0.578,0,0.01,0.99
S184    ,0,0.017,0.982,0.01,0.595,0.395,0,0.024,0.976,0,0.014,0.986,0.007,0.106,0.887,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S186    ,0.462,0.425,0.113,0.036,0.62,0.343,0.002,0.074,0.924,0,0.026,0.974,0,0.027,0.972,0,0.106,0.893,0.275,0.602,0.123,0,0.015,0.985
