"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025"
"a","a",NA,6,"d","d","a","a","e","a","a","b","","","","","","","","","","","","",""
"","",505,2,"b","b","d","c","ad","a","b","","","","","","","","","","","","","",""
"a","",NA,NA,"","","","","","","","","","","","","","","","","","","","",""
"b","c",NA,NA,"c","b","b","b","a","c","d","c","b","a","c","e","c","c","b","c","a","c","c","a","c"
"a","c",705,24,"c","d","d","a","acd","b","c","d","a","c","a","c","b","b","b","d","c","b","d","a","a"
"a","d",150,4,"d","b","b","b","e","a","a","c","b","b","a","b","b","d","a","b","b","a","c","b","c"
"a","d",1215,12,"c","b","d","c","ade","a","a","d","d","a","a","e","b","c","c","d","b","c","b","a","d"
"c","d",1215,15,"d","b","d","b","cde","b","c","d","a","c","c","b","a","b","d","b","","","","",""
"c","b",900,6,"c","a","c","c","cf","a","a","d","a","a","d","c","b","b","c","b","a","a","d","b","c"
"a","a",705,14,"","","d","","","a","c","d","b","a","a","d","d","b","a","b","a","a","d","",""
"a","b",1215,16,"","","d","","ade","a","c","a","c","a","a","","","b","c","d","","a","c","b","c"
"a","d",NA,8,"","a","c","c","acf","b","a","b","b","a","a","a","a","","","","","","","",""
"a","d",1215,8,"c","a","b","","be","b","c","d","d","b","d","","","","","c","","","","",""
"a","e",1215,16,"c","b","b","c","be","b","c","d","b","c","d","e","b","b","a","d","a","b","c","b","a"
"a","d",NA,31,"d","c","d","b","d","a","c","c","a","d","c","e","a","b","c","d","c","a","d","a","b"
"a","c",500,31,"d","c","d","c","adf","c","c","c","d","b","a","d","b","b","b","b","","d","c","b","c"
"c","b",630,8,"d","a","d","a","af","a","c","d","d","c","a","c","e","b","c","b","a","c","a","b","c"
"a","a",415,8,"","b","b","b","be","a","c","d","d","a","c","c","a","d","b","d","b","a","b","a","b"
"b","d",675,8,"c","a","a","c","ce","c","c","d","a","a","d","d","a","d","c","b","d","a","a","d","c"
"b","a",1815,32,"b","d","a","a","c","d","c","c","d","d","c","d","e","b","c","d","b","c","d","d","a"
"a","d",503,16,"b","a","d","a","abcdef","b","c","a","c","b","c","b","","","","","","","","",""
"b","a",600,31,"","b","d","c","acdf","b","c","d","a","b","c","d","e","b","a","","","","","",""
"a","d",810,16,"c","a","d","a","acd","b","c","c","d","b","c","d","e","b","a","d","","","","",""
"a","c",531,8,"d","b","d","a","abc","c","c","c","c","a","b","e","d","c","b","b","a","b","a","c","b"
"a","a",1215,18,"d","c","d","c","f","b","c","d","d","c","d","b","b","b","b","d","a","","","",""
"a","d",NA,8,"d","a","d","c","","a","c","d","d","a","b","e","e","a","b","d","a","a","d","b","c"
"c","b",1215,8,"d","b","d","c","abcdef","a","c","a","a","d","b","b","c","a","c","d","c","c","c","a","a"
"c","e",1215,31,"c","a","d","b","b","a","c","a","d","b","b","","","","","","","","","",""
"a","d",1215,8,"b","d","d","d","ae","a","c","d","d","b","c","d","e","b","c","d","e","b","a","c","c"
