"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S201","s08-01","c08","Male","7","Part 1",36,41,5,2,NA,NA,3,5,3,5,2,NA,NA,3,5,NA,NA,-1.39,-1.32,NA,36,41,NA,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S202","s08-06","c08","Female","3","Part 1",39,42,3,1,4,5,NA,NA,4,5,1,4,5,NA,NA,-1.14,-0.99,NA,NA,39,NA,NA,42,FALSE,NA,1,"linear_full","Linear","Full"
"S203","s08-09","c08","Male","3","Part 1",33,30,-3,2,NA,NA,3,2,3,2,-1,NA,NA,2,1,NA,NA,-1.69,-2.4,NA,33,30,NA,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S204","s08-08","c08","Male","3","Part 1",53,57,4,1,9,11,NA,NA,9,11,2,9,10,NA,NA,0.27,0.25,NA,NA,53,NA,NA,57,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S208","s09-01","c09","Female","2","Academic",47,45,-2,1,7,6,NA,NA,7,6,-1,7,6,NA,NA,-0.29,-0.74,NA,NA,47,NA,NA,45,FALSE,28,-1,"adaptive_acc","Adaptive","Accuracy"
"S209","s09-02","c09","Female","8","Academic",48,58,10,2,NA,NA,8,11,8,11,3,NA,NA,7,11,NA,NA,-0.19,0.31,NA,48,58,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S210","s09-09","c09","Female","7","Academic",50,57,7,1,8,10,NA,NA,8,10,2,8,10,NA,NA,-0.01,0.25,NA,NA,50,NA,NA,57,FALSE,NA,2,"linear_full","Linear","Full"
"S211","s09-12","c09","Female","6","Academic",42,44,2,2,NA,NA,5,7,5,7,2,NA,NA,5,6,NA,NA,-0.79,-1.05,NA,42,44,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S212","s09-08","c09","Female","5","Academic",58,57,-1,1,11,11,NA,NA,11,11,0,11,10,NA,NA,0.84,0.25,NA,NA,58,NA,NA,57,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S213","s09-16","c09","Female","6","Academic",45,53,8,2,NA,NA,6,10,6,10,4,NA,NA,6,9,NA,NA,-0.49,-0.23,NA,45,53,NA,FALSE,NA,4,"linear_full","Linear","Full"
"S214","s09-04","c09","Male","5","Academic",50,57,7,1,8,11,NA,NA,8,11,3,8,10,NA,NA,-0.01,0.25,NA,NA,50,NA,NA,57,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S215","s09-14","c09","Male","7","Academic",69,67,-2,2,NA,NA,15,15,15,15,0,NA,NA,14,14,NA,NA,1.91,1.12,NA,69,67,NA,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S216","s09-03","c09","Male","7","Academic",64,78,14,1,13,17,NA,NA,13,17,4,13,17,NA,NA,1.4,1.99,NA,NA,64,NA,NA,78,FALSE,NA,4,"linear_full","Linear","Full"
"S217","s09-06","c09","Female","6","Academic",51,56,5,2,NA,NA,9,11,9,11,2,NA,NA,8,10,NA,NA,0.11,0.04,NA,51,56,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S218","s09-05","c09","Male","7","Academic",61,69,8,1,12,15,NA,NA,12,15,3,12,14,NA,NA,1.12,1.25,NA,NA,61,NA,NA,69,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S219","s09-15","c09","Male","7","Academic",66,73,7,2,NA,NA,14,16,14,16,2,NA,NA,13,16,NA,NA,1.61,1.66,NA,66,73,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S220","s09-10","c09","Male","7","Academic",64,69,5,1,14,14,NA,NA,14,14,0,13,14,NA,NA,1.4,1.25,NA,NA,64,NA,NA,69,FALSE,62,0,"adaptive_acc","Adaptive","Accuracy"
"S221","s09-13","c09","Male","5","Academic",60,67,7,2,NA,NA,11,14,11,14,3,NA,NA,11,14,NA,NA,1.01,1.12,NA,60,67,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S222","s09-11","c09","Male","6","Academic",41,36,-5,1,5,4,NA,NA,5,4,-1,5,3,NA,NA,-0.86,-1.49,NA,NA,41,NA,NA,36,FALSE,NA,-1,"linear_full","Linear","Full"
"S223","s09-07","c09","Female","7","Academic",54,61,7,2,NA,NA,10,12,10,12,2,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S228","s10-12","c10","Male","7","Academic",47,51,4,1,7,8,NA,NA,7,8,1,7,8,NA,NA,-0.29,-0.25,NA,NA,47,NA,NA,51,FALSE,62,1,"adaptive_acc","Adaptive","Accuracy"
"S229","s10-14","c10","Female","8","Academic",54,61,7,2,NA,NA,9,12,9,12,3,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S230","s10-02","c10","Female","7","Academic",44,63,19,1,6,14,NA,NA,6,14,8,6,12,NA,NA,-0.58,0.75,NA,NA,44,NA,NA,63,FALSE,NA,8,"linear_full","Linear","Full"
"S231","s10-10","c10","Female","6","Academic",57,76,19,2,NA,NA,10,17,10,17,7,NA,NA,10,17,NA,NA,0.71,1.93,NA,57,76,NA,FALSE,62,7,"adaptive_acc","Adaptive","Accuracy"
"S232","s10-03","c10","Female","7","Academic",44,72,28,1,6,15,NA,NA,6,15,9,6,15,NA,NA,-0.58,1.49,NA,NA,44,NA,NA,72,FALSE,62,9,"adaptive_full","Adaptive","Full"
"S233","s10-04","c10","Female","6","Academic",57,61,4,2,NA,NA,10,12,10,12,2,NA,NA,10,12,NA,NA,0.71,0.58,NA,57,61,NA,FALSE,NA,2,"linear_full","Linear","Full"
"S234","s10-09","c10","Male","7","Academic",50,45,-5,1,8,7,NA,NA,8,7,-1,8,6,NA,NA,-0.01,-0.74,NA,NA,50,NA,NA,45,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S235","s10-06","c10","Female","7","Academic",54,61,7,2,NA,NA,9,12,9,12,3,NA,NA,9,12,NA,NA,0.41,0.58,NA,54,61,NA,FALSE,62,3,"adaptive_full","Adaptive","Full"
"S236","s10-05","c10","Female","7","Academic",58,45,-13,1,11,7,NA,NA,11,7,-4,11,6,NA,NA,0.84,-0.74,NA,NA,58,NA,NA,45,FALSE,NA,-4,"linear_full","Linear","Full"
"S237","s10-16","c10","Male","3","Academic",42,64,22,2,NA,NA,6,14,6,14,8,NA,NA,5,13,NA,NA,-0.79,0.85,NA,42,64,NA,FALSE,49,8,"adaptive_acc","Adaptive","Accuracy"
"S238","s10-13","c10","Female","2","Academic",47,60,13,1,9,11,NA,NA,9,11,2,7,11,NA,NA,-0.29,0.5,NA,NA,47,NA,NA,60,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S239","s10-08","c10","Male","7","Academic",54,56,2,2,NA,NA,9,10,9,10,1,NA,NA,9,10,NA,NA,0.41,0.04,NA,54,56,NA,FALSE,NA,1,"linear_full","Linear","Full"
"S240","s10-07","c10","Female","6","Academic",50,60,10,1,9,11,NA,NA,9,11,2,8,11,NA,NA,-0.01,0.5,NA,NA,50,NA,NA,60,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
"S241","s10-01","c10","Female","8","Academic",27,53,26,2,NA,NA,0,9,0,9,9,NA,NA,0,9,NA,NA,-2.29,-0.23,NA,27,53,NA,FALSE,62,9,"adaptive_full","Adaptive","Full"
"S242","s10-15","c10","Female","6","Academic",44,54,10,1,6,9,NA,NA,6,9,3,6,9,NA,NA,-0.58,0,NA,NA,44,NA,NA,54,FALSE,NA,3,"linear_full","Linear","Full"
"S243","s10-11","c10","Female","7","Academic",60,64,4,2,NA,NA,11,13,11,13,2,NA,NA,11,13,NA,NA,1.01,0.85,NA,60,64,NA,FALSE,62,2,"adaptive_acc","Adaptive","Accuracy"
