"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S317","s14-03","c14","linear_full","Linear","Full",63,18,45,0,1385,0,0.014,0.986,0.014,"L",0.442,0.517,0.041,1.401,"M",0.099,0.228,0.673,0.426,"L",0,0.01,0.99,0.01,"L",0,0.017,0.983,0.018,"L",0.102,0.779,0.119,0.983,"M",0,0.006,0.994,0.00600000000000001,"L",0.008,0.227,0.765,0.243,"L",0.121,0.444,0.435,0.687,"M",0.001,0.052,0.948,0.0529999999999999,"L",0.002,0.095,0.903,0.099,"L"
"S318","s14-04","c14","adaptive_acc","Adaptive","Accuracy",63,16,47,0,1411,0,0.002,0.998,0.002,"L",0.209,0.655,0.136,1.072,"M",0.098,0.227,0.675,0.423,"L",0.001,0.064,0.935,0.0660000000000001,"L",0.003,0.084,0.913,0.091,"L",0.004,0.438,0.558,0.447,"L",0,0.03,0.97,0.0309999999999999,"L",0.001,0.102,0.897,0.105,"L",0.003,0.091,0.906,0.0960000000000001,"L",0.006,0.153,0.841,0.166,"L",0.01,0.196,0.794,0.217,"L"
"S320","s14-05","c14","linear_full","Linear","Full",63,21,32,10,NA,0.01,0.237,0.753,0.257,"L",0.221,0.524,0.255,0.966,"M",0.128,0.248,0.624,0.504,"L",0.008,0.124,0.868,0.14,"L",0,0.004,0.996,0.004,"L",0.347,0.594,0.059,1.288,"M",0.115,0.316,0.569,0.545,"L",0.349,0.55,0.101,1.248,"M",0.199,0.475,0.327,0.872,"M",0.005,0.093,0.903,0.102,"L",0.108,0.258,0.634,0.473,"L"
"S315","s14-06","c14","adaptive_acc","Adaptive","Accuracy",63,18,45,0,2328,0,0.005,0.995,0.00499999999999989,"L",0.075,0.598,0.327,0.748,"M",0.098,0.228,0.674,0.424,"L",0,0.026,0.974,0.026,"L",0,0.008,0.992,0.00800000000000001,"L",0.299,0.68,0.021,1.278,"M",0.002,0.056,0.943,0.0589999999999999,"L",0.039,0.422,0.539,0.499,"L",0.003,0.103,0.893,0.11,"L",0.004,0.13,0.865,0.139,"L",0,0.038,0.962,0.038,"L"
"S334","s15-01","c15","linear_full","Linear","Full",63,26,37,0,2673,0,0.048,0.952,0.048,"L",0.694,0.297,0.009,1.685,"H",0.103,0.231,0.666,0.437,"L",0.013,0.166,0.822,0.191,"L",0.001,0.039,0.96,0.0409999999999999,"L",0.409,0.573,0.018,1.391,"M",0.011,0.128,0.861,0.15,"L",0.04,0.423,0.538,0.502,"L",0.141,0.448,0.411,0.729,"M",0.01,0.179,0.811,0.199,"L",0,0.027,0.973,0.0269999999999999,"L"
"S324","s15-02","c15","adaptive_full","Adaptive","Full",63,17,46,0,1866,0,0.001,0.999,0.00099999999999989,"L",0.436,0.523,0.041,1.394,"M",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.015,0.985,0.0149999999999999,"L",0.254,0.714,0.032,1.221,"M",0.003,0.079,0.917,0.0860000000000001,"L",0.008,0.228,0.764,0.244,"L",0.02,0.238,0.741,0.279,"L",0.01,0.194,0.796,0.214,"L",0,0.029,0.971,0.0289999999999999,"L"
"S325","s15-03","c15","linear_full","Linear","Full",63,42,21,0,2020,0.992,0.008,0,1.992,"H",1,0,0,2,"H",0.308,0.336,0.356,0.951,"L",0.844,0.151,0.005,1.839,"H",0,0.013,0.987,0.0129999999999999,"L",1,0,0,2,"H",0.485,0.441,0.074,1.411,"H",0.003,0.119,0.878,0.126,"L",0.897,0.1,0.003,1.894,"H",0.544,0.372,0.084,1.461,"H",0.27,0.524,0.206,1.064,"M"
"S328","s15-04","c15","linear_full","Linear","Full",63,34,29,0,1998,0.145,0.819,0.036,1.11,"M",0.987,0.013,0,1.987,"H",0.228,0.31,0.462,0.765,"L",0.328,0.499,0.172,1.156,"M",0,0.024,0.976,0.0249999999999999,"L",0.925,0.075,0,1.924,"H",0.002,0.076,0.923,0.079,"L",0.654,0.324,0.022,1.632,"H",0.707,0.271,0.022,1.685,"H",0.134,0.351,0.515,0.618,"L",0,0.036,0.963,0.0369999999999999,"L"
"S327","s15-05","c15","adaptive_full","Adaptive","Full",63,11,45,7,NA,0,0,1,0,"L",0.072,0.6,0.328,0.744,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.006,0.056,0.938,0.0669999999999999,"L",0.031,0.735,0.234,0.797,"M",0.001,0.036,0.963,0.0369999999999999,"L",0.03,0.346,0.624,0.407,"L",0.008,0.152,0.839,0.169,"L",0.063,0.391,0.547,0.516,"L",0,0.04,0.96,0.04,"L"
"S323","s15-06","c15","adaptive_acc","Adaptive","Accuracy",63,40,22,1,2236,0.966,0.034,0,1.966,"H",0.999,0.001,0,1.999,"H",0.305,0.335,0.36,0.946,"L",0.836,0.158,0.006,1.83,"H",0.005,0.11,0.885,0.12,"L",0.998,0.002,0,1.998,"H",0.675,0.298,0.028,1.647,"H",0.738,0.246,0.015,1.723,"H",0.612,0.341,0.047,1.565,"H",0.398,0.405,0.196,1.202,"M",0.373,0.491,0.135,1.238,"M"
"S336","s15-07","c15","adaptive_full","Adaptive","Full",63,8,55,0,837,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0,0.112,0.887,0.113,"L",0,0.007,0.993,0.0069999999999999,"L",0.008,0.227,0.765,0.243,"L",0,0.027,0.972,0.028,"L",0.003,0.108,0.889,0.114,"L",0,0.036,0.964,0.036,"L"
"S333","s15-08","c15","adaptive_full","Adaptive","Full",63,37,22,4,NA,0.463,0.534,0.003,1.459,"M",0.998,0.002,0,1.998,"H",0.26,0.321,0.419,0.841,"L",0.005,0.128,0.867,0.137,"L",0.001,0.044,0.955,0.046,"L",0.996,0.004,0,1.996,"H",0.349,0.47,0.181,1.168,"M",0.663,0.316,0.021,1.642,"H",0.843,0.15,0.007,1.836,"H",0.125,0.341,0.534,0.592,"L",0.417,0.458,0.125,1.292,"M"
"S332","s15-09","c15","adaptive_acc","Adaptive","Accuracy",63,28,35,0,1994,0.041,0.602,0.357,0.684,"M",0.282,0.431,0.287,0.994,"M",0.179,0.281,0.54,0.639,"L",0.001,0.048,0.951,0.05,"L",0.001,0.037,0.962,0.038,"L",0.978,0.022,0,1.978,"H",0.048,0.29,0.661,0.387,"L",0.044,0.424,0.532,0.512,"L",0.099,0.435,0.466,0.633,"L",0.029,0.231,0.74,0.289,"L",0.393,0.459,0.148,1.245,"M"
"S331","s15-10","c15","linear_full","Linear","Full",63,13,50,0,1589,0,0.001,0.999,0.00099999999999989,"L",0.208,0.656,0.136,1.071,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.016,0.983,0.0169999999999999,"L",0.019,0.664,0.317,0.703,"M",0.001,0.035,0.965,0.036,"L",0.001,0.101,0.897,0.104,"L",0.001,0.045,0.954,0.0469999999999999,"L",0.002,0.087,0.911,0.0900000000000001,"L",0.061,0.391,0.548,0.513,"L"
"S329","s15-11","c15","adaptive_acc","Adaptive","Accuracy",63,20,43,0,1923,0,0.007,0.993,0.0069999999999999,"L",0.438,0.521,0.041,1.397,"M",0.098,0.228,0.674,0.424,"L",0.009,0.152,0.839,0.17,"L",0,0.014,0.985,0.0149999999999999,"L",0.012,0.56,0.428,0.584,"M",0.009,0.119,0.872,0.137,"L",0.15,0.575,0.276,0.874,"M",0.029,0.262,0.708,0.321,"L",0.088,0.42,0.493,0.595,"L",0.007,0.169,0.823,0.184,"L"
"S326","s15-12","c15","adaptive_acc","Adaptive","Accuracy",63,11,13,39,NA,0.042,0.692,0.266,0.776,"M",0.878,0.113,0.009,1.868,"H",0.19,0.288,0.521,0.669,"L",0.055,0.236,0.71,0.345,"L",0.015,0.061,0.924,0.091,"L",0.923,0.075,0.002,1.921,"H",0.035,0.255,0.71,0.325,"L",0.25,0.409,0.341,0.909,"M",0.122,0.331,0.547,0.574,"L",0.173,0.343,0.484,0.69,"L",0.136,0.438,0.426,0.71,"M"
"S338","s15-13","c15","adaptive_acc","Adaptive","Accuracy",63,19,39,0,1859,0,0.022,0.978,0.022,"L",0.026,0.404,0.57,0.457,"L",0.1,0.229,0.671,0.429,"L",0.002,0.068,0.93,0.0720000000000001,"L",0,0.009,0.99,0.01,"L",0.414,0.573,0.013,1.4,"M",0.003,0.077,0.919,0.0840000000000001,"L",0.142,0.578,0.28,0.862,"M",0.016,0.209,0.775,0.24,"L",0.019,0.24,0.74,0.279,"L",0,0.013,0.987,0.0129999999999999,"L"
"S335","s15-14","c15","adaptive_acc","Adaptive","Accuracy",63,34,28,1,NA,0.375,0.619,0.006,1.369,"M",0.988,0.012,0,1.988,"H",0.252,0.319,0.43,0.822,"L",0.02,0.236,0.745,0.275,"L",0.041,0.25,0.709,0.333,"L",0.965,0.035,0,1.964,"H",0.208,0.478,0.314,0.894,"M",0.567,0.374,0.059,1.508,"H",0.269,0.497,0.234,1.035,"M",0.529,0.339,0.132,1.397,"H",0.004,0.125,0.871,0.134,"L"
"S337","s15-15","c15","linear_full","Linear","Full",63,11,52,0,1234,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.025,0.975,0.0249999999999999,"L",0,0.003,0.997,0.00299999999999989,"L",0.004,0.438,0.558,0.446,"L",0.001,0.049,0.95,0.052,"L",0.039,0.422,0.539,0.5,"L",0.001,0.059,0.94,0.0609999999999999,"L",0.01,0.189,0.802,0.208,"L",0,0.028,0.972,0.028,"L"
"S330","s15-16","c15","adaptive_full","Adaptive","Full",63,29,34,0,2331,0.005,0.241,0.754,0.25,"L",0.112,0.418,0.47,0.643,"L",0.128,0.247,0.625,0.503,"L",0.007,0.122,0.871,0.137,"L",0.001,0.043,0.956,0.0449999999999999,"L",0.87,0.13,0,1.869,"H",0.006,0.097,0.897,0.109,"L",0.145,0.577,0.278,0.867,"M",0.51,0.408,0.082,1.427,"H",0.012,0.16,0.828,0.183,"L",0.039,0.304,0.657,0.383,"L"
"S091","s02-01","c02","linear_full","Linear","Full",63,21,42,0,2449,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.015,0.13,0.855,0.16,"L",0.434,0.551,0.015,1.419,"M",0.006,0.099,0.895,0.111,"L",0.179,0.559,0.262,0.918,"M",0.208,0.473,0.32,0.888,"M",0.139,0.449,0.411,0.728,"M",0,0.021,0.979,0.0209999999999999,"L"
"S075","s02-02","c02","adaptive_full","Adaptive","Full",63,35,27,1,NA,0.559,0.436,0.005,1.554,"H",0.978,0.022,0,1.978,"H",0.268,0.324,0.408,0.86,"L",0.495,0.411,0.094,1.401,"H",0.102,0.309,0.589,0.513,"L",0.949,0.05,0.001,1.949,"H",0.5,0.408,0.092,1.409,"H",0.162,0.426,0.411,0.751,"M",0.097,0.418,0.485,0.612,"L",0.297,0.412,0.291,1.006,"M",0.279,0.5,0.221,1.058,"M"
"S074","s02-03","c02","adaptive_acc","Adaptive","Accuracy",63,20,43,0,1886,0,0.009,0.991,0.0089999999999999,"L",0.022,0.403,0.576,0.446,"L",0.098,0.228,0.674,0.425,"L",0,0.01,0.99,0.01,"L",0,0.016,0.984,0.0169999999999999,"L",0.706,0.292,0.002,1.704,"H",0.003,0.072,0.924,0.079,"L",0.009,0.23,0.761,0.248,"L",0.356,0.474,0.17,1.186,"M",0.088,0.437,0.475,0.613,"L",0,0.017,0.983,0.0169999999999999,"L"
"S088","s02-04","c02","linear_full","Linear","Full",63,20,43,0,2097,0,0.016,0.984,0.016,"L",0.443,0.516,0.041,1.402,"M",0.099,0.228,0.672,0.427,"L",0,0.01,0.99,0.0109999999999999,"L",0,0.003,0.997,0.00299999999999989,"L",0.339,0.637,0.024,1.314,"M",0.002,0.055,0.943,0.0589999999999999,"L",0.141,0.579,0.28,0.861,"M",0.247,0.482,0.271,0.975,"M",0.02,0.246,0.734,0.286,"L",0,0.013,0.987,0.0129999999999999,"L"
"S082","s02-05","c02","linear_full","Linear","Full",63,18,45,0,705,0,0.02,0.98,0.02,"L",0.686,0.305,0.009,1.677,"H",0.1,0.229,0.671,0.428,"L",0,0.011,0.989,0.0109999999999999,"L",0,0.017,0.983,0.0169999999999999,"L",0.066,0.756,0.177,0.889,"M",0.002,0.055,0.943,0.0589999999999999,"L",0.001,0.102,0.897,0.104,"L",0.151,0.461,0.388,0.763,"M",0.003,0.114,0.882,0.121,"L",0,0.04,0.96,0.04,"L"
"S083","s02-06","c02","adaptive_acc","Adaptive","Accuracy",63,13,50,0,1132,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.001,0.039,0.96,0.0409999999999999,"L",0.001,0.192,0.807,0.193,"L",0.008,0.114,0.878,0.129,"L",0.039,0.422,0.538,0.501,"L",0.004,0.117,0.879,0.125,"L",0.006,0.151,0.843,0.163,"L",0.001,0.066,0.933,0.0680000000000001,"L"
"S086","s02-07","c02","adaptive_acc","Adaptive","Accuracy",63,36,27,0,1856,0.752,0.248,0,1.752,"H",0.994,0.006,0,1.994,"H",0.286,0.329,0.385,0.902,"L",0.896,0.101,0.003,1.893,"H",0,0.023,0.977,0.024,"L",0.997,0.003,0,1.997,"H",0.289,0.502,0.209,1.08,"M",0.019,0.254,0.727,0.292,"L",0.241,0.494,0.265,0.976,"M",0.498,0.385,0.117,1.381,"H",0.001,0.055,0.944,0.056,"L"
"S087","s02-08","c02","adaptive_full","Adaptive","Full",63,22,41,0,1121,0,0.164,0.836,0.165,"L",0.728,0.264,0.008,1.72,"H",0.117,0.241,0.642,0.475,"L",0,0.018,0.982,0.018,"L",0,0.021,0.979,0.0209999999999999,"L",0.425,0.562,0.013,1.411,"M",0.004,0.083,0.913,0.091,"L",0.042,0.424,0.534,0.509,"L",0.001,0.064,0.935,0.0660000000000001,"L",0.055,0.345,0.6,0.455,"L",0,0.033,0.967,0.0329999999999999,"L"
"S080","s02-09","c02","adaptive_acc","Adaptive","Accuracy",63,9,54,0,842,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.001,0.999,0.00099999999999989,"L",0.024,0.709,0.267,0.757,"M",0.001,0.049,0.949,0.052,"L",0.038,0.422,0.54,0.498,"L",0.011,0.17,0.819,0.192,"L",0.002,0.08,0.919,0.083,"L",0,0.022,0.978,0.022,"L"
"S078","s02-10","c02","adaptive_full","Adaptive","Full",63,20,43,0,1655,0,0.06,0.94,0.0600000000000001,"L",0.246,0.626,0.129,1.117,"M",0.105,0.232,0.663,0.441,"L",0,0.013,0.987,0.0129999999999999,"L",0,0.003,0.997,0.00299999999999989,"L",0.487,0.505,0.008,1.479,"M",0.001,0.035,0.964,0.0369999999999999,"L",0.138,0.58,0.282,0.856,"M",0.002,0.091,0.907,0.0960000000000001,"L",0.001,0.059,0.94,0.0609999999999999,"L",0.002,0.094,0.904,0.099,"L"
"S085","s02-12","c02","linear_full","Linear","Full",63,25,38,0,2268,0.001,0.259,0.739,0.262,"L",0.566,0.403,0.031,1.535,"H",0.129,0.248,0.622,0.507,"L",0,0.023,0.977,0.0229999999999999,"L",0.002,0.072,0.925,0.077,"L",0.742,0.255,0.003,1.739,"H",0.021,0.177,0.802,0.219,"L",0.002,0.103,0.895,0.106,"L",0.28,0.487,0.233,1.047,"M",0.021,0.231,0.748,0.274,"L",0.029,0.278,0.693,0.336,"L"
"S084","s02-13","c02","adaptive_full","Adaptive","Full",63,26,37,0,2167,0,0.013,0.987,0.0129999999999999,"L",0.442,0.517,0.041,1.401,"M",0.099,0.228,0.673,0.426,"L",0,0.01,0.99,0.01,"L",0.006,0.105,0.889,0.117,"L",0.932,0.068,0,1.932,"H",0.005,0.094,0.901,0.104,"L",0.042,0.423,0.535,0.506,"L",0.009,0.174,0.817,0.192,"L",0.009,0.174,0.817,0.192,"L",0.027,0.29,0.683,0.344,"L"
"S076","s02-14","c02","linear_full","Linear","Full",63,33,30,0,2506,0.175,0.765,0.06,1.115,"M",0.833,0.154,0.013,1.82,"H",0.227,0.309,0.464,0.763,"L",0.578,0.361,0.061,1.517,"H",0,0.022,0.977,0.0229999999999999,"L",0.955,0.045,0,1.955,"H",0.305,0.467,0.228,1.076,"M",0.68,0.3,0.02,1.66,"H",0.213,0.5,0.287,0.926,"M",0.283,0.398,0.318,0.965,"M",0.006,0.14,0.854,0.151,"L"
"S081","s02-15","c02","adaptive_full","Adaptive","Full",63,21,42,0,2335,0,0.047,0.953,0.0469999999999999,"L",0.036,0.406,0.559,0.477,"L",0.103,0.231,0.666,0.437,"L",0,0.012,0.988,0.012,"L",0,0.02,0.98,0.02,"L",0.79,0.209,0.001,1.789,"H",0.01,0.125,0.864,0.146,"L",0.042,0.423,0.535,0.507,"L",0.002,0.084,0.914,0.0880000000000001,"L",0.054,0.359,0.587,0.467,"L",0,0.034,0.965,0.0349999999999999,"L"
"S077","s02-16","c02","adaptive_acc","Adaptive","Accuracy",63,21,42,0,1785,0.003,0.425,0.572,0.431,"L",0.65,0.326,0.024,1.626,"H",0.15,0.262,0.588,0.562,"L",0.011,0.165,0.824,0.187,"L",0,0.003,0.997,0.00299999999999989,"L",0.673,0.323,0.004,1.669,"H",0.006,0.116,0.877,0.129,"L",0.001,0.102,0.897,0.105,"L",0.003,0.104,0.893,0.11,"L",0.008,0.144,0.848,0.16,"L",0.001,0.057,0.943,0.0580000000000001,"L"
"S089","s02-17","c02","adaptive_acc","Adaptive","Accuracy",63,14,35,14,NA,0,0.012,0.987,0.0129999999999999,"L",0.023,0.403,0.574,0.449,"L",0.099,0.228,0.673,0.426,"L",0.001,0.033,0.966,0.0349999999999999,"L",0.001,0.023,0.976,0.0249999999999999,"L",0.224,0.735,0.04,1.184,"M",0.002,0.056,0.942,0.0600000000000001,"L",0.194,0.431,0.375,0.819,"M",0.018,0.228,0.753,0.265,"L",0.029,0.28,0.692,0.337,"L",0.001,0.057,0.942,0.0589999999999999,"L"
"S090","s02-18","c02","adaptive_full","Adaptive","Full",63,13,50,0,934,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.008,0.992,0.00800000000000001,"L",0.018,0.604,0.378,0.64,"M",0.002,0.062,0.936,0.0669999999999999,"L",0.039,0.422,0.539,0.5,"L",0.206,0.471,0.322,0.884,"M",0.008,0.17,0.822,0.186,"L",0,0.023,0.977,0.0229999999999999,"L"
"S079","s02-19","c02","linear_full","Linear","Full",63,27,36,0,2082,0.031,0.59,0.379,0.652,"M",0.267,0.434,0.299,0.969,"M",0.176,0.279,0.546,0.63,"L",0.652,0.292,0.056,1.596,"H",0,0.009,0.99,0.01,"L",0.782,0.216,0.002,1.78,"H",0.064,0.321,0.615,0.449,"L",0.151,0.574,0.275,0.876,"M",0.007,0.154,0.839,0.168,"L",0.042,0.263,0.695,0.346,"L",0.001,0.065,0.934,0.0669999999999999,"L"
"S113","s03-01","c03","adaptive_full","Adaptive","Full",63,44,18,1,2613,0.868,0.132,0,1.868,"H",0.997,0.003,0,1.997,"H",0.297,0.332,0.371,0.926,"L",0.915,0.083,0.002,1.913,"H",0.007,0.151,0.841,0.166,"L",1,0,0,2,"H",0.234,0.524,0.242,0.992,"M",0.792,0.196,0.011,1.781,"H",0.932,0.067,0.001,1.931,"H",0.762,0.207,0.031,1.731,"H",0.679,0.29,0.031,1.649,"H"
"S101","s03-02","c03","adaptive_full","Adaptive","Full",63,14,49,0,1008,0,0.001,0.999,0.00099999999999989,"L",0.019,0.402,0.579,0.44,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0.189,0.768,0.044,1.145,"M",0,0.026,0.973,0.0269999999999999,"L",0.008,0.228,0.765,0.243,"L",0.01,0.173,0.817,0.192,"L",0.005,0.14,0.856,0.149,"L",0,0.015,0.985,0.0149999999999999,"L"
"S099","s03-03","c03","linear_full","Linear","Full",63,20,43,0,824,0.001,0.276,0.723,0.278,"L",0.574,0.396,0.03,1.544,"H",0.131,0.25,0.619,0.512,"L",0,0.024,0.976,0.024,"L",0.009,0.133,0.858,0.151,"L",0.11,0.697,0.193,0.917,"M",0,0.011,0.989,0.0109999999999999,"L",0.001,0.102,0.896,0.105,"L",0.06,0.344,0.596,0.464,"L",0.001,0.044,0.955,0.0449999999999999,"L",0,0.034,0.966,0.034,"L"
"S111","s03-04","c03","linear_full","Linear","Full",63,22,41,0,52,0,0.002,0.998,0.002,"L",0.436,0.523,0.041,1.395,"M",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.011,0.121,0.868,0.143,"L",0.36,0.625,0.014,1.346,"M",0.007,0.111,0.882,0.125,"L",0.36,0.541,0.099,1.261,"M",0.001,0.062,0.937,0.0640000000000001,"L",0.007,0.13,0.863,0.143,"L",0,0.013,0.987,0.0129999999999999,"L"
"S114","s03-05","c03","linear_full","Linear","Full",63,32,31,0,2316,0.291,0.698,0.011,1.28,"M",0.949,0.05,0.001,1.948,"H",0.244,0.316,0.44,0.803,"L",0.003,0.102,0.895,0.109,"L",0,0.013,0.987,0.0129999999999999,"L",0.973,0.027,0,1.973,"H",0.265,0.479,0.256,1.01,"M",0.636,0.341,0.023,1.612,"H",0.842,0.152,0.006,1.835,"H",0.049,0.243,0.709,0.34,"L",0.002,0.076,0.923,0.079,"L"
"S102","s03-06","c03","linear_full","Linear","Full",63,33,30,0,1667,0.082,0.875,0.043,1.04,"M",0.994,0.006,0,1.994,"H",0.221,0.308,0.471,0.75,"L",0.117,0.472,0.411,0.707,"M",0,0.004,0.996,0.004,"L",0.953,0.047,0,1.953,"H",0.019,0.225,0.755,0.264,"L",0.143,0.578,0.279,0.865,"M",0.915,0.084,0.002,1.913,"H",0.004,0.091,0.905,0.099,"L",0,0.033,0.967,0.034,"L"
"S098","s03-07","c03","adaptive_full","Adaptive","Full",63,18,45,0,1966,0,0.001,0.999,0.00099999999999989,"L",0.208,0.655,0.136,1.072,"M",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0.001,0.046,0.953,0.048,"L",0.061,0.795,0.144,0.917,"M",0,0.029,0.971,0.03,"L",0.14,0.579,0.281,0.859,"M",0,0.035,0.964,0.036,"L",0.002,0.081,0.918,0.0840000000000001,"L",0.045,0.357,0.597,0.448,"L"
"S100","s03-08","c03","adaptive_acc","Adaptive","Accuracy",63,14,49,0,750,0,0.002,0.998,0.002,"L",0.073,0.599,0.328,0.745,"M",0.098,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0.051,0.76,0.189,0.862,"M",0,0.017,0.983,0.0169999999999999,"L",0.008,0.227,0.765,0.243,"L",0.083,0.391,0.526,0.556,"L",0.001,0.076,0.923,0.079,"L",0,0.02,0.98,0.02,"L"
"S106","s03-09","c03","adaptive_acc","Adaptive","Accuracy",63,33,22,8,NA,0.277,0.712,0.011,1.266,"M",0.985,0.015,0,1.984,"H",0.242,0.315,0.442,0.8,"L",0.003,0.1,0.897,0.106,"L",0.032,0.198,0.769,0.263,"L",0.968,0.032,0,1.968,"H",0.304,0.475,0.22,1.084,"M",0.853,0.143,0.004,1.85,"H",0.828,0.164,0.008,1.82,"H",0.111,0.316,0.573,0.538,"L",0.103,0.441,0.457,0.646,"L"
"S103","s03-10","c03","adaptive_acc","Adaptive","Accuracy",63,32,18,13,NA,0.87,0.13,0,1.869,"H",0.995,0.005,0,1.995,"H",0.297,0.332,0.371,0.926,"L",0.915,0.083,0.002,1.913,"H",0.63,0.286,0.084,1.547,"H",0.979,0.02,0.001,1.978,"H",0.095,0.442,0.463,0.632,"L",0.67,0.267,0.063,1.607,"H",0.795,0.191,0.014,1.781,"H",0.488,0.381,0.13,1.358,"H",0.029,0.308,0.662,0.367,"L"
"S110","s03-11","c03","adaptive_full","Adaptive","Full",63,42,19,2,2454,0.915,0.085,0,1.915,"H",0.993,0.006,0,1.993,"H",0.301,0.334,0.366,0.935,"L",0.923,0.076,0.002,1.921,"H",0,0.029,0.971,0.0289999999999999,"L",1,0,0,2,"H",0.32,0.506,0.174,1.146,"M",0.866,0.13,0.003,1.863,"H",0.753,0.229,0.018,1.735,"H",0.319,0.406,0.276,1.043,"M",0.731,0.249,0.02,1.711,"H"
"S107","s03-12","c03","adaptive_full","Adaptive","Full",63,11,46,1,490,0,0.001,0.999,0.00099999999999989,"L",0.208,0.656,0.137,1.071,"M",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.012,0.988,0.0129999999999999,"L",0.037,0.774,0.188,0.849,"M",0.001,0.049,0.95,0.0509999999999999,"L",0.008,0.227,0.765,0.243,"L",0.001,0.065,0.934,0.0669999999999999,"L",0.001,0.076,0.923,0.079,"L",0,0.02,0.98,0.02,"L"
"S109","s03-13","c03","adaptive_acc","Adaptive","Accuracy",63,37,26,0,2527,0.689,0.31,0.001,1.688,"H",0.992,0.008,0,1.992,"H",0.28,0.328,0.392,0.889,"L",0.886,0.11,0.004,1.882,"H",0.011,0.118,0.871,0.139,"L",0.988,0.012,0,1.987,"H",0.188,0.495,0.317,0.871,"M",0.071,0.429,0.5,0.571,"L",0.138,0.462,0.4,0.737,"M",0.102,0.353,0.545,0.557,"L",0.209,0.495,0.296,0.913,"M"
"S112","s03-14","c03","adaptive_acc","Adaptive","Accuracy",63,21,15,27,NA,0.694,0.304,0.001,1.693,"H",0.988,0.011,0,1.988,"H",0.281,0.328,0.391,0.889,"L",0.844,0.146,0.01,1.833,"H",0.038,0.122,0.84,0.199,"L",0.967,0.032,0.001,1.966,"H",0.131,0.46,0.409,0.721,"M",0.324,0.379,0.297,1.027,"M",0.546,0.383,0.071,1.475,"H",0.256,0.406,0.337,0.919,"M",0.015,0.211,0.774,0.242,"L"
"S105","s03-15","c03","linear_full","Linear","Full",63,23,40,0,1752,0.001,0.372,0.627,0.374,"L",0.622,0.352,0.026,1.596,"H",0.143,0.258,0.6,0.543,"L",0,0.029,0.971,0.0289999999999999,"L",0.009,0.132,0.859,0.15,"L",0.725,0.273,0.002,1.722,"H",0.001,0.048,0.951,0.05,"L",0.002,0.103,0.895,0.107,"L",0.006,0.143,0.851,0.155,"L",0.008,0.14,0.853,0.155,"L",0,0.019,0.981,0.0189999999999999,"L"
