"SubjID","AltID","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S297","s13-07",0.002,0.086,0.912,0.0900000000000001,"L",0.211,0.547,0.242,0.968,"M",0.108,0.234,0.657,0.451,"L",0.002,0.043,0.956,0.046,"L",0.074,0.173,0.753,0.321,"L",0.41,0.543,0.047,1.364,"M",0.012,0.103,0.885,0.127,"L",0.179,0.419,0.402,0.777,"M",0.021,0.177,0.803,0.218,"L",0.274,0.408,0.317,0.957,"M",0.017,0.171,0.812,0.205,"L"
"S296","s13-08",0.001,0.087,0.912,0.0880000000000001,"L",0.659,0.32,0.021,1.638,"H",0.108,0.234,0.658,0.45,"L",0.037,0.199,0.764,0.273,"L",0,0.012,0.988,0.0129999999999999,"L",0.404,0.55,0.046,1.358,"M",0,0.015,0.984,0.016,"L",0.02,0.26,0.72,0.299,"L",0.009,0.12,0.872,0.137,"L",0.009,0.135,0.856,0.152,"L",0.006,0.103,0.891,0.115,"L"
"S292","s13-09",0,0.003,0.997,0.00299999999999989,"L",0.154,0.582,0.264,0.891,"M",0.098,0.227,0.675,0.423,"L",0.001,0.03,0.969,0.032,"L",0,0.012,0.988,0.012,"L",0.252,0.656,0.092,1.16,"M",0.001,0.025,0.974,0.026,"L",0.02,0.259,0.721,0.299,"L",0.023,0.187,0.79,0.234,"L",0.007,0.133,0.86,0.146,"L",0.004,0.091,0.905,0.099,"L"
"S304","s13-10",0.006,0.222,0.772,0.233,"L",0.657,0.301,0.042,1.615,"H",0.126,0.246,0.629,0.497,"L",0.011,0.102,0.887,0.124,"L",0.001,0.019,0.98,0.0209999999999999,"L",0.768,0.222,0.01,1.758,"H",0.007,0.079,0.914,0.093,"L",0.193,0.432,0.375,0.817,"M",0.155,0.348,0.497,0.658,"L",0.015,0.139,0.847,0.168,"L",0.034,0.197,0.769,0.265,"L"
"S301","s13-11",0,0.03,0.97,0.03,"L",0.172,0.571,0.257,0.915,"M",0.101,0.23,0.669,0.432,"L",0.001,0.034,0.965,0.036,"L",0.001,0.022,0.978,0.0229999999999999,"L",0.138,0.663,0.199,0.939,"M",0,0.008,0.992,0.00800000000000001,"L",0.02,0.259,0.721,0.299,"L",0.067,0.286,0.647,0.42,"L",0.002,0.069,0.929,0.073,"L",0.005,0.103,0.892,0.114,"L"
"S305","s13-12",0.941,0.059,0,1.94,"H",0.999,0.001,0,1.999,"H",0.303,0.334,0.363,0.94,"L",0.794,0.188,0.018,1.777,"H",0.003,0.052,0.945,0.0580000000000001,"L",0.999,0.001,0,1.999,"H",0.217,0.459,0.324,0.893,"M",0.666,0.293,0.041,1.625,"H",0.677,0.266,0.057,1.621,"H",0.366,0.36,0.273,1.093,"H",0.828,0.151,0.021,1.807,"H"
"S294","s13-13",0.006,0.195,0.798,0.208,"L",0.286,0.5,0.214,1.072,"M",0.122,0.244,0.634,0.489,"L",0.003,0.059,0.938,0.0649999999999999,"L",0,0.012,0.987,0.0129999999999999,"L",0.465,0.495,0.041,1.424,"M",0.001,0.022,0.977,0.0229999999999999,"L",0.02,0.26,0.72,0.3,"L",0.011,0.132,0.857,0.155,"L",0.012,0.146,0.842,0.17,"L",0.01,0.124,0.865,0.145,"L"
"S295","s13-14",0,0.031,0.969,0.0309999999999999,"L",0.173,0.571,0.257,0.916,"M",0.101,0.23,0.669,0.432,"L",0.001,0.034,0.965,0.036,"L",0,0.011,0.988,0.012,"L",0.332,0.601,0.067,1.265,"M",0.002,0.04,0.958,0.0429999999999999,"L",0.279,0.515,0.206,1.073,"M",0.108,0.337,0.555,0.552,"L",0.037,0.252,0.71,0.327,"L",0.004,0.092,0.904,0.1,"L"
"S303","s13-15",0.036,0.336,0.627,0.409,"L",0.405,0.424,0.171,1.234,"M",0.146,0.259,0.595,0.55,"L",0.023,0.138,0.84,0.183,"L",0.001,0.019,0.98,0.022,"L",0.656,0.327,0.016,1.64,"H",0.005,0.067,0.928,0.0760000000000001,"L",0.192,0.432,0.376,0.816,"M",0.538,0.341,0.121,1.417,"H",0.006,0.084,0.91,0.0960000000000001,"L",0.078,0.279,0.643,0.435,"L"
"S306","s13-16",0.015,0.308,0.677,0.337,"L",0.74,0.245,0.016,1.724,"H",0.138,0.254,0.608,0.53,"L",0.016,0.123,0.861,0.155,"L",0.001,0.019,0.98,0.0209999999999999,"L",0.29,0.556,0.153,1.137,"M",0.002,0.045,0.953,0.0489999999999999,"L",0.192,0.432,0.376,0.815,"M",0.049,0.251,0.7,0.349,"L",0.007,0.095,0.898,0.109,"L",0.019,0.163,0.817,0.202,"L"
"S300","s13-17",0,0.002,0.998,0.002,"L",0.154,0.583,0.264,0.89,"M",0.098,0.227,0.675,0.422,"L",0.001,0.03,0.969,0.0309999999999999,"L",0,0.012,0.988,0.012,"L",0.103,0.662,0.235,0.868,"M",0,0.012,0.988,0.012,"L",0.02,0.26,0.721,0.299,"L",0.067,0.287,0.646,0.421,"L",0.008,0.144,0.848,0.16,"L",0.005,0.099,0.897,0.108,"L"
"S293","s13-18",0,0.028,0.972,0.028,"L",0.171,0.572,0.257,0.914,"M",0.101,0.229,0.67,0.431,"L",0.001,0.034,0.965,0.036,"L",0,0.005,0.995,0.00499999999999989,"L",0.158,0.677,0.165,0.993,"M",0.001,0.032,0.967,0.034,"L",0.02,0.259,0.721,0.299,"L",0.005,0.09,0.906,0.099,"L",0.008,0.142,0.849,0.159,"L",0.005,0.102,0.893,0.112,"L"
"S316","s14-01",0.044,0.368,0.588,0.456,"L",0.732,0.236,0.032,1.7,"H",0.151,0.262,0.587,0.565,"L",0.073,0.194,0.733,0.34,"L",0.003,0.024,0.973,0.03,"L",0.828,0.163,0.009,1.819,"H",0.052,0.176,0.773,0.279,"L",0.204,0.427,0.368,0.836,"M",0.28,0.373,0.347,0.932,"M",0.046,0.173,0.781,0.265,"L",0.067,0.243,0.69,0.376,"L"
"S319","s14-02",0.002,0.062,0.937,0.0649999999999999,"L",0.194,0.557,0.249,0.946,"M",0.105,0.232,0.662,0.443,"L",0.007,0.092,0.901,0.106,"L",0.002,0.03,0.968,0.0329999999999999,"L",0.377,0.57,0.052,1.325,"M",0.01,0.095,0.895,0.115,"L",0.279,0.515,0.206,1.073,"M",0.009,0.122,0.869,0.14,"L",0.023,0.193,0.784,0.238,"L",0.089,0.335,0.576,0.512,"L"
"S317","s14-03",0,0.054,0.946,0.0549999999999999,"L",0.648,0.331,0.022,1.626,"H",0.104,0.232,0.664,0.44,"L",0.001,0.038,0.961,0.04,"L",0,0.012,0.987,0.0129999999999999,"L",0.256,0.641,0.103,1.153,"M",0,0.008,0.992,0.00800000000000001,"L",0.088,0.443,0.469,0.619,"L",0.056,0.268,0.675,0.381,"L",0.002,0.066,0.932,0.0700000000000001,"L",0.032,0.227,0.741,0.291,"L"
