ItemID,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T019,T020,T021,T022,T023,T024,T025
S273,1,0,0,-999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-999,-999,-999
S288,1,1,0,-999,0,0,0,0,0,0,1,0,0,0,1,0,0,-999,1,0,0,1,0,0,0
S279,1,0,0,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0
S277,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
S275,1,-999,-999,0,0,0,-999,-999,-999,1,0,0,-999,0,0,-999,-999,0,-999,-999,0,-999,-999,-999,-999
S286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S271,0,0,-999,-999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
S285,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
S281,0,0,-999,-999,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0
S283,0,0,-999,0,1,0,1,-999,1,0,1,0,0,1,0,0,0,0,0,1,1,-999,0,1,0
S290,0,0,-999,-999,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0
S269,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-999,-999,-999,-999,-999
S295,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
S293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
S313,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S297,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
S311,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
S303,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,-999,-999,1,1,0,0,0,0
S305,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
S301,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
S314,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
S309,0,0,-999,0,0,0,0,0,0,0,-999,1,0,1,0,0,0,1,1,0,0,0,0,0,0
S307,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
S321,1,0,-999,0,0,0,0,0,0,0,0,0,0,1,0,-999,0,0,0,0,0,-999,-999,-999,-999
S315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
S317,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
S319,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
S337,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,-999,-999,-999
S335,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
S333,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1
S341,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
S331,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
S327,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
S323,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1
S325,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1
S339,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
S329,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
