SID,AltID,Session,Cond_code,Sequencing,Feedback,All_Items,Correct,Incorrect,Reamaining,ElapsedTime,P.sgp..H,P.sgp..M,P.sgp..L,EAP.sgp,MAP.sgp,P.ar..H,P.ar..M,P.ar..L,EAP.ar,MAP.ar,P.cr..H,P.cr..M,P.cr..L,EAP.cr,MAP.cr,P.dt..H,P.dt..M,P.dt..L,EAP.dt,MAP.dt,P.eg..H,P.eg..M,P.eg..L,EAP.eg,MAP.eg,P.exp..H,P.exp..M,P.exp..L,EAP.exp,MAP.exp,P.ext..H,P.ext..M,P.ext..L,EAP.ext,MAP.ext,P.ir..H,P.ir..M,P.ir..L,EAP.ir,MAP.ir,P.mod..H,P.mod..M,P.mod..L,EAP.mod,MAP.mod,P.rr..H,P.rr..M,P.rr..L,EAP.rr,MAP.rr,P.tab..H,P.tab..M,P.tab..L,EAP.tab,MAP.tab,P.vr..H,P.vr..M,P.vr..L,EAP.vr,MAP.vr,P.pic..H,P.pic..M,P.pic..L,EAP.pic,MAP.pic,t.cr1a,t.cr1b,t.cr3a,t.cr3b,t.cr2a,t.cr2b,t.eg1a,t.eg1b,t.eg3a,t.eg3b,t.eg2a,t.eg2b,t.exp1a,t.exp1b,t.exp3a,t.exp3b,t.exp2a,t.exp2b,t.ext1a,t.ext1c,t.ext3a,t.ext3b,t.ext2a,t.ext2c,t.modext1a,t.modext1b,t.modext3a,t.modext3b,t.modext2a,t.modext2b,t.rr1a,t.rr1b,t.rr3a,t.rr3b,t.rr2a,t.rr2b,t.sgp1a,t.sgp1b,t.sgp3a,t.sgp3b,t.sgp2a,t.sgp2b,t.tabext1a,t.tabext1b,t.tabext3a,t.tabext3b,t.tabext2a,t.tabext2b,t.vrexpmod3a,t.vrexpmod3a,,,t.vrextmod1a,t.vrextmod1b,t.vrextmod2a,t.vrmod3a,t.picexpvrmod3a,t.picexpmod3b,t.picext1a,t.picext1b,t.picext3a,.tpicexttabmodvr2a,t.vevrmg2a
S320,s14-05,14,3,1,1,63,21,32,10,0.03125,0.01,0.237,0.753,1.743,1,0.001,0.019,0.98,1.979,1,0.221,0.524,0.255,1.034,2,0.128,0.248,0.624,1.496,1,0.008,0.124,0.868,1.86,1,0,0.004,0.996,1.996,1,0.347,0.594,0.059,0.712,2,0.004,0.064,0.932,1.928,1,0.115,0.316,0.569,1.455,1,0.349,0.55,0.101,0.752,2,0.199,0.475,0.327,1.128,2,0.005,0.093,0.903,1.898,1,0.108,0.258,0.634,1.527,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S315,s14-06,14,1,2,2,63,18,45,0,00:38:48,0,0.005,0.995,1.995,1,0,0.005,0.995,1.995,1,0.075,0.598,0.327,1.252,2,0.098,0.228,0.674,1.576,1,0,0.026,0.974,1.974,1,0,0.008,0.992,1.992,1,0.299,0.68,0.021,0.722,2,0.001,0.042,0.957,1.956,1,0.002,0.056,0.943,1.941,1,0.039,0.422,0.539,1.501,1,0.003,0.103,0.893,1.89,1,0.004,0.13,0.865,1.861,1,0,0.038,0.962,1.962,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1
S334,s15-01,15,3,1,1,63,26,37,0,00:44:33,0,0.048,0.952,1.952,1,0,0.009,0.991,1.99,1,0.694,0.297,0.009,0.315,3,0.103,0.231,0.666,1.563,1,0.013,0.166,0.822,1.809,1,0.001,0.039,0.96,1.959,1,0.409,0.573,0.018,0.609,2,0.003,0.064,0.933,1.93,1,0.011,0.128,0.861,1.85,1,0.04,0.423,0.538,1.498,1,0.141,0.448,0.411,1.271,2,0.01,0.179,0.811,1.801,1,0,0.027,0.973,1.973,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1
S324,s15-02,15,2,2,1,63,17,46,0,00:31:06,0,0.001,0.999,1.999,1,0,0.004,0.996,1.996,1,0.436,0.523,0.041,0.606,2,0.098,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.015,0.985,1.985,1,0.254,0.714,0.032,0.779,2,0.002,0.059,0.939,1.936,1,0.003,0.079,0.917,1.914,1,0.008,0.228,0.764,1.756,1,0.02,0.238,0.741,1.721,1,0.01,0.194,0.796,1.786,1,0,0.029,0.971,1.971,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1
S325,s15-03,15,3,1,1,63,42,21,0,00:33:40,0.992,0.008,0,0.008,3,0.001,0.071,0.928,1.927,1,1,0,0,0,3,0.308,0.336,0.356,1.049,1,0.844,0.151,0.005,0.161,3,0,0.013,0.987,1.987,1,1,0,0,0,3,0.434,0.471,0.095,0.66,2,0.485,0.441,0.074,0.589,3,0.003,0.119,0.878,1.874,1,0.897,0.1,0.003,0.106,3,0.544,0.372,0.084,0.539,3,0.27,0.524,0.206,0.936,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,1
S328,s15-04,15,3,1,1,63,34,29,0,00:33:18,0.145,0.819,0.036,0.89,2,0.022,0.15,0.829,1.807,1,0.987,0.013,0,0.013,3,0.228,0.31,0.462,1.235,1,0.328,0.499,0.172,0.844,2,0,0.024,0.976,1.975,1,0.925,0.075,0,0.076,3,0.12,0.333,0.547,1.427,1,0.002,0.076,0.923,1.921,1,0.654,0.324,0.022,0.368,3,0.707,0.271,0.022,0.315,3,0.134,0.351,0.515,1.382,1,0,0.036,0.963,1.963,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
S327,s15-05,15,2,2,1,63,11,45,7,0.03125,0,0,1,2,1,0.002,0.018,0.98,1.978,1,0.072,0.6,0.328,1.256,2,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0.006,0.056,0.938,1.933,1,0.031,0.735,0.234,1.203,2,0.015,0.142,0.842,1.827,1,0.001,0.036,0.963,1.963,1,0.03,0.346,0.624,1.593,1,0.008,0.152,0.839,1.831,1,0.063,0.391,0.547,1.484,1,0,0.04,0.96,1.96,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,2,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1
S323,s15-06,15,1,2,2,63,40,22,1,00:37:16,0.966,0.034,0,0.034,3,0.09,0.341,0.569,1.479,1,0.999,0.001,0,0.001,3,0.305,0.335,0.36,1.054,1,0.836,0.158,0.006,0.17,3,0.005,0.11,0.885,1.88,1,0.998,0.002,0,0.002,3,0.428,0.406,0.167,0.739,3,0.675,0.298,0.028,0.353,3,0.738,0.246,0.015,0.277,3,0.612,0.341,0.047,0.435,3,0.398,0.405,0.196,0.798,2,0.373,0.491,0.135,0.762,2,2,NA,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2
S336,s15-07,15,2,2,1,63,8,55,0,00:13:57,0,0,1,2,1,0,0.003,0.997,1.997,1,0.018,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.008,0.992,1.992,1,0,0.112,0.887,1.887,1,0.001,0.035,0.965,1.964,1,0,0.007,0.993,1.993,1,0.008,0.227,0.765,1.757,1,0,0.027,0.972,1.972,1,0.003,0.108,0.889,1.886,1,0,0.036,0.964,1.964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
S333,s15-08,15,2,2,1,63,37,22,4,0.03125,0.463,0.534,0.003,0.541,2,0.029,0.17,0.8,1.771,1,0.998,0.002,0,0.002,3,0.26,0.321,0.419,1.159,1,0.005,0.128,0.867,1.863,1,0.001,0.044,0.955,1.954,1,0.996,0.004,0,0.004,3,0.142,0.359,0.5,1.358,1,0.349,0.47,0.181,0.832,2,0.663,0.316,0.021,0.358,3,0.843,0.15,0.007,0.164,3,0.125,0.341,0.534,1.408,1,0.417,0.458,0.125,0.708,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2
S332,s15-09,15,1,2,2,63,28,35,0,00:33:14,0.041,0.602,0.357,1.316,2,0.002,0.021,0.977,1.976,1,0.282,0.431,0.287,1.006,2,0.179,0.281,0.54,1.361,1,0.001,0.048,0.951,1.95,1,0.001,0.037,0.962,1.962,1,0.978,0.022,0,0.022,3,0.02,0.185,0.795,1.776,1,0.048,0.29,0.661,1.613,1,0.044,0.424,0.532,1.488,1,0.099,0.435,0.466,1.367,1,0.029,0.231,0.74,1.711,1,0.393,0.459,0.148,0.755,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2
S331,s15-10,15,3,1,1,63,13,50,0,00:26:29,0,0.001,0.999,1.999,1,0,0.002,0.998,1.998,1,0.208,0.656,0.136,0.929,2,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.016,0.983,1.983,1,0.019,0.664,0.317,1.297,2,0,0.029,0.97,1.97,1,0.001,0.035,0.965,1.964,1,0.001,0.101,0.897,1.896,1,0.001,0.045,0.954,1.953,1,0.002,0.087,0.911,1.91,1,0.061,0.391,0.548,1.487,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2
S329,s15-11,15,1,2,2,63,20,43,0,00:32:03,0,0.007,0.993,1.993,1,0.003,0.03,0.967,1.965,1,0.438,0.521,0.041,0.603,2,0.098,0.228,0.674,1.576,1,0.009,0.152,0.839,1.83,1,0,0.014,0.985,1.985,1,0.012,0.56,0.428,1.416,2,0.024,0.168,0.808,1.784,1,0.009,0.119,0.872,1.863,1,0.15,0.575,0.276,1.126,2,0.029,0.262,0.708,1.679,1,0.088,0.42,0.493,1.405,1,0.007,0.169,0.823,1.816,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2
S326,s15-12,15,1,2,2,63,11,13,39,0.03125,0.042,0.692,0.266,1.224,2,0.029,0.092,0.879,1.85,1,0.878,0.113,0.009,0.132,3,0.19,0.288,0.521,1.331,1,0.055,0.236,0.71,1.655,1,0.015,0.061,0.924,1.909,1,0.923,0.075,0.002,0.079,3,0.117,0.3,0.583,1.466,1,0.035,0.255,0.71,1.675,1,0.25,0.409,0.341,1.091,2,0.122,0.331,0.547,1.426,1,0.173,0.343,0.484,1.31,1,0.136,0.438,0.426,1.29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,NA,NA,1,2,1,2
S338,s15-13,15,1,2,2,63,19,39,0,00:30:59,0,0.022,0.978,1.978,1,0.001,0.015,0.984,1.984,1,0.026,0.404,0.57,1.543,1,0.1,0.229,0.671,1.571,1,0.002,0.068,0.93,1.928,1,0,0.009,0.99,1.99,1,0.414,0.573,0.013,0.6,2,0.006,0.082,0.912,1.906,1,0.003,0.077,0.919,1.916,1,0.142,0.578,0.28,1.138,2,0.016,0.209,0.775,1.76,1,0.019,0.24,0.74,1.721,1,0,0.013,0.987,1.987,1,1,1,1,1,1,1,2,2,1,1,1,1,NA,NA,NA,NA,1,NA,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1
S335,s15-14,15,1,2,2,63,34,28,1,0.03125,0.375,0.619,0.006,0.631,2,0.148,0.307,0.545,1.397,1,0.988,0.012,0,0.012,3,0.252,0.319,0.43,1.178,1,0.02,0.236,0.745,1.725,1,0.041,0.25,0.709,1.667,1,0.965,0.035,0,0.036,3,0.454,0.369,0.177,0.724,3,0.208,0.478,0.314,1.106,2,0.567,0.374,0.059,0.492,3,0.269,0.497,0.234,0.965,2,0.529,0.339,0.132,0.603,3,0.004,0.125,0.871,1.866,1,2,2,1,NA,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1
S337,s15-15,15,3,1,1,63,11,52,0,00:20:34,0,0,1,2,1,0,0.006,0.994,1.994,1,0.018,0.402,0.579,1.561,1,0.097,0.227,0.675,1.578,1,0,0.025,0.975,1.975,1,0,0.003,0.997,1.997,1,0.004,0.438,0.558,1.554,1,0.002,0.058,0.939,1.937,1,0.001,0.049,0.95,1.948,1,0.039,0.422,0.539,1.5,1,0.001,0.059,0.94,1.939,1,0.01,0.189,0.802,1.792,1,0,0.028,0.972,1.972,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
S330,s15-16,15,2,2,1,63,29,34,0,00:38:51,0.005,0.241,0.754,1.75,1,0.002,0.021,0.977,1.975,1,0.112,0.418,0.47,1.357,1,0.128,0.247,0.625,1.497,1,0.007,0.122,0.871,1.863,1,0.001,0.043,0.956,1.955,1,0.87,0.13,0,0.131,3,0.008,0.091,0.901,1.893,1,0.006,0.097,0.897,1.891,1,0.145,0.577,0.278,1.133,2,0.51,0.408,0.082,0.573,3,0.012,0.16,0.828,1.817,1,0.039,0.304,0.657,1.617,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1
S091,s02-01,2,3,1,1,63,21,42,0,00:40:49,0,0.001,0.999,1.999,1,0.02,0.068,0.912,1.892,1,0.019,0.402,0.579,1.56,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0.015,0.13,0.855,1.84,1,0.434,0.551,0.015,0.581,2,0.052,0.208,0.74,1.688,1,0.006,0.099,0.895,1.889,1,0.179,0.559,0.262,1.082,2,0.208,0.473,0.32,1.112,2,0.139,0.449,0.411,1.272,2,0,0.021,0.979,1.979,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2
S075,s02-02,2,2,2,1,63,35,27,1,0.020833333,0.559,0.436,0.005,0.446,3,0.09,0.208,0.702,1.612,1,0.978,0.022,0,0.022,3,0.268,0.324,0.408,1.14,1,0.495,0.411,0.094,0.599,3,0.102,0.309,0.589,1.487,1,0.949,0.05,0.001,0.051,3,0.292,0.408,0.3,1.008,2,0.5,0.408,0.092,0.591,3,0.162,0.426,0.411,1.249,2,0.097,0.418,0.485,1.388,1,0.297,0.412,0.291,0.994,2,0.279,0.5,0.221,0.942,2,2,2,1,NA,1,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2
S074,s02-03,2,1,2,2,63,20,43,0,00:31:26,0,0.009,0.991,1.991,1,0,0.011,0.989,1.989,1,0.022,0.403,0.576,1.554,1,0.098,0.228,0.674,1.575,1,0,0.01,0.99,1.99,1,0,0.016,0.984,1.983,1,0.706,0.292,0.002,0.296,3,0.018,0.172,0.81,1.792,1,0.003,0.072,0.924,1.921,1,0.009,0.23,0.761,1.752,1,0.356,0.474,0.17,0.814,2,0.088,0.437,0.475,1.387,1,0,0.017,0.983,1.983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2
S088,s02-04,2,3,1,1,63,20,43,0,00:34:57,0,0.016,0.984,1.984,1,0.001,0.014,0.985,1.985,1,0.443,0.516,0.041,0.598,2,0.099,0.228,0.672,1.573,1,0,0.01,0.99,1.989,1,0,0.003,0.997,1.997,1,0.339,0.637,0.024,0.686,2,0.006,0.083,0.911,1.905,1,0.002,0.055,0.943,1.941,1,0.141,0.579,0.28,1.139,2,0.247,0.482,0.271,1.025,2,0.02,0.246,0.734,1.714,1,0,0.013,0.987,1.987,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1
S082,s02-05,2,3,1,1,63,18,45,0,00:11:45,0,0.02,0.98,1.98,1,0,0.002,0.998,1.998,1,0.686,0.305,0.009,0.323,3,0.1,0.229,0.671,1.572,1,0,0.011,0.989,1.989,1,0,0.017,0.983,1.983,1,0.066,0.756,0.177,1.111,2,0.001,0.039,0.96,1.96,1,0.002,0.055,0.943,1.941,1,0.001,0.102,0.897,1.896,1,0.151,0.461,0.388,1.237,2,0.003,0.114,0.882,1.879,1,0,0.04,0.96,1.96,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
S083,s02-06,2,1,2,2,63,13,50,0,00:18:52,0,0.001,0.999,1.999,1,0,0.007,0.992,1.992,1,0.019,0.402,0.579,1.56,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0.001,0.039,0.96,1.959,1,0.001,0.192,0.807,1.807,1,0.002,0.048,0.95,1.949,1,0.008,0.114,0.878,1.871,1,0.039,0.422,0.538,1.499,1,0.004,0.117,0.879,1.875,1,0.006,0.151,0.843,1.837,1,0.001,0.066,0.933,1.932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
S086,s02-07,2,1,2,2,63,36,27,0,00:30:56,0.752,0.248,0,0.248,3,0.004,0.09,0.906,1.902,1,0.994,0.006,0,0.006,3,0.286,0.329,0.385,1.098,1,0.896,0.101,0.003,0.107,3,0,0.023,0.977,1.976,1,0.997,0.003,0,0.003,3,0.377,0.47,0.153,0.776,2,0.289,0.502,0.209,0.92,2,0.019,0.254,0.727,1.708,1,0.241,0.494,0.265,1.024,2,0.498,0.385,0.117,0.619,3,0.001,0.055,0.944,1.944,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1
S087,s02-08,2,2,2,1,63,22,41,0,00:18:41,0,0.164,0.836,1.835,1,0.001,0.017,0.982,1.981,1,0.728,0.264,0.008,0.28,3,0.117,0.241,0.642,1.525,1,0,0.018,0.982,1.982,1,0,0.021,0.979,1.979,1,0.425,0.562,0.013,0.589,2,0.02,0.156,0.824,1.804,1,0.004,0.083,0.913,1.909,1,0.042,0.424,0.534,1.491,1,0.001,0.064,0.935,1.934,1,0.055,0.345,0.6,1.545,1,0,0.033,0.967,1.967,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2
S080,s02-09,2,1,2,2,63,9,54,0,00:14:02,0,0,1,2,1,0,0.004,0.996,1.996,1,0.018,0.402,0.58,1.561,1,0.097,0.227,0.675,1.578,1,0,0.01,0.99,1.99,1,0,0.001,0.999,1.999,1,0.024,0.709,0.267,1.243,2,0,0.028,0.972,1.971,1,0.001,0.049,0.949,1.948,1,0.038,0.422,0.54,1.502,1,0.011,0.17,0.819,1.808,1,0.002,0.08,0.919,1.917,1,0,0.022,0.978,1.978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
S078,s02-10,2,2,2,1,63,20,43,0,00:27:35,0,0.06,0.94,1.94,1,0,0.007,0.992,1.992,1,0.246,0.626,0.129,0.883,2,0.105,0.232,0.663,1.559,1,0,0.013,0.987,1.987,1,0,0.003,0.997,1.997,1,0.487,0.505,0.008,0.521,2,0.001,0.029,0.97,1.969,1,0.001,0.035,0.964,1.963,1,0.138,0.58,0.282,1.144,2,0.002,0.091,0.907,1.904,1,0.001,0.059,0.94,1.939,1,0.002,0.094,0.904,1.901,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1
S085,s02-12,2,3,1,1,63,25,38,0,00:37:48,0.001,0.259,0.739,1.738,1,0,0.008,0.992,1.992,1,0.566,0.403,0.031,0.465,3,0.129,0.248,0.622,1.493,1,0,0.023,0.977,1.977,1,0.002,0.072,0.925,1.923,1,0.742,0.255,0.003,0.261,3,0.009,0.118,0.873,1.864,1,0.021,0.177,0.802,1.781,1,0.002,0.103,0.895,1.894,1,0.28,0.487,0.233,0.953,2,0.021,0.231,0.748,1.726,1,0.029,0.278,0.693,1.664,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1
S084,s02-13,2,2,2,1,63,26,37,0,00:36:07,0,0.013,0.987,1.987,1,0.001,0.014,0.985,1.984,1,0.442,0.517,0.041,0.599,2,0.099,0.228,0.673,1.574,1,0,0.01,0.99,1.99,1,0.006,0.105,0.889,1.883,1,0.932,0.068,0,0.068,3,0.003,0.059,0.938,1.935,1,0.005,0.094,0.901,1.896,1,0.042,0.423,0.535,1.494,1,0.009,0.174,0.817,1.808,1,0.009,0.174,0.817,1.808,1,0.027,0.29,0.683,1.656,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,2,1,1
S076,s02-14,2,3,1,1,63,33,30,0,00:41:46,0.175,0.765,0.06,0.885,2,0.034,0.22,0.746,1.712,1,0.833,0.154,0.013,0.18,3,0.227,0.309,0.464,1.237,1,0.578,0.361,0.061,0.483,3,0,0.022,0.977,1.977,1,0.955,0.045,0,0.045,3,0.225,0.388,0.388,1.163,2,0.305,0.467,0.228,0.924,2,0.68,0.3,0.02,0.34,3,0.213,0.5,0.287,1.074,2,0.283,0.398,0.318,1.035,2,0.006,0.14,0.854,1.849,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2
S081,s02-15,2,2,2,1,63,21,42,0,00:38:55,0,0.047,0.953,1.953,1,0.001,0.015,0.984,1.983,1,0.036,0.406,0.559,1.523,1,0.103,0.231,0.666,1.563,1,0,0.012,0.988,1.988,1,0,0.02,0.98,1.98,1,0.79,0.209,0.001,0.211,3,0.015,0.137,0.848,1.833,1,0.01,0.125,0.864,1.854,1,0.042,0.423,0.535,1.493,1,0.002,0.084,0.914,1.912,1,0.054,0.359,0.587,1.533,1,0,0.034,0.965,1.965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2
S077,s02-16,2,1,2,2,63,21,42,0,00:29:45,0.003,0.425,0.572,1.569,1,0,0.003,0.997,1.997,1,0.65,0.326,0.024,0.374,3,0.15,0.262,0.588,1.438,1,0.011,0.165,0.824,1.813,1,0,0.003,0.997,1.997,1,0.673,0.323,0.004,0.331,3,0.004,0.1,0.895,1.891,1,0.006,0.116,0.877,1.871,1,0.001,0.102,0.897,1.895,1,0.003,0.104,0.893,1.89,1,0.008,0.144,0.848,1.84,1,0.001,0.057,0.943,1.942,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1
